Language,Image,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4,2017q1,2017q2,2017q3,2017q4,2018q1,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q1,2020q2,2020q3,2020q4,2021q1,2021q2,2021q3,2021q4
HTML,,0.005242772695730181,0.006517156636872812,0.008142595489218977,0.012418351644219394,0.01605378575391426,0.025212110072765807,0.03148094542930335,0.03748500379652293,0.04395800991838027,0.05411331328807256,0.056437407827741946,0.0843984309147256,0.101675260921944,0.1249057754515018,0.13233424444199407,0.15290889669038987,0.1547286912219644,0.138611123740188,0.14921440046538711,0.14311660990092226,0.16781822773656233,0.11441278320325475,0.10575141803912295,0.1008046491763845,0.07712108325299329,0.06697239472467323,0.0615785645656404,0.06079298234258589,0.03301296674641509,0.04513184789690963,0.045215166306509805,0.04141223200801378,0.04255151580548343,0.037707324538095235,0.03771237790200407,0.035370808780037795,0.032029305211557,0.028961027087901946,0.022546119987899925
Smalltalk,,0.00023789615054262532,0.000172467263769052,3.6758518830291666e-05,0.000128200367311146,0.0001797483554349763,0.00026379040634733856,0.00013818295074456263,0.00017302899849062776,0.00035471934510425244,0.00037518254785422233,0.00042305836875985314,0.0005542105445277844,0.00091015294172991,0.0007383425634808632,0.000472675820135028,0.0008256440857209303,0.0010039545184173874,0.000714924702709544,0.0007172507315337409,0.000742515406504659,0.0007951332503232295,0.0006627712056485318,0.0004833592629848763,0.0013705361270080327,0.001028729311190327,0.0009325202485308888,0.0009671623915505586,0.001865409007004877,0.0010411643861784738,0.0008308634394869588,0.0006326788228372541,0.0007327100136945092,0.0011648486052433492,0.0007975126656992609,0.0007910339687798122,0.0005741233716613398,0.0006175757491122637,0.0006078943989893059,0.00041768158695532976
Raku,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00037309284542734244,0.0002957318259134858,0.0002197528193809071,0.00030742208102199316,0.0001711207919889765,0.00020834723771061226,9.286710647602231e-05,9.567161945094852e-05
Svelte,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001152701276500265
Inform 7,,0,0,0,0,0,0,0,0,0,0,0,0,9.75581542415324e-06,0,0,0.00010155547836995431,1.6898466002551146e-05,8.971865970426639e-06,1.4111090167078793e-05,0,1.236898026990857e-05,1.0017131908728771e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Protocol Buffer,,0,0,0,0,0,0,0,0,7.183110644153318e-05,0.00015284340005757566,0.00013118781424329638,0.00012310222190681794,0.00024704257917178084,0.00042437236106349384,0.0004365768611560723,0.00044063242659124745,0.0004359807733501873,0.001779522044899446,0.000587439393417689,0.0007295283423070498,0.0008127573289079919,0.0007000515529364596,0.00016925951272333162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VimL,,0.0010059028218075926,0.0011020916043352974,0.001381740157320299,0.0017993849574825373,0.0026880230656743257,0.00362379912456971,0.0031571075577014685,0.004154748334276688,0.003952498577928147,0.004113931915757292,0.004817258253580195,0.005714019733852932,0.00608818841149631,0.006531944746411259,0.006991668473082021,0.0105371428215426,0.007245876328213325,0.007447366075914777,0.008448724129125751,0.001693159732638136,0.0008390240633661668,0.0007080736870423475,0.0006660710237665496,0.0004546515629771996,0.0003690728060697714,0.00037829962622151563,0.00028856880024580246,0.00028026466210923263,0.0002232890476722117,0.00023459190235809843,0.00020368205484975506,0.00018592042605764731,0.00018977557877299981,0.00017004918317904447,0.00020967771521244284,0.00015944965619537138,0.00014428987605818612,0.0003947867269872106,9.6400819355691e-05
Scilab,,0,0,0,0,0,0,1.0801081362455371e-05,0,0,0,0,0,1.3675562692786236e-05,0,9.407393444719194e-06,1.8379259415145833e-05,1.3849773682503259e-05,0,2.5086382519251185e-05,3.1096661664488446e-05,2.6044542962694808e-05,1.0888186857313883e-05,1.3762668187644747e-05,1.3240035218493681e-05,1.0801081362455371e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMake,,1.550477808481497e-05,1.4198195661937302e-05,1.6811360507692636e-05,3.449377596397038e-05,2.9267446272459717e-05,8.404411241004598e-05,0.00016398248900967278,0.0004032179495400512,0.0003412007136063622,0.0004183507186729296,0.0005630670082676374,0.0007667480724082845,0.0010203420723478233,0.00148999176497121,0.001226452314340228,0.0015354191499239592,0.0016914285166238052,0.0012028839039109644,0.0016362063718383152,0.0015606421612252054,0.0022176225268931513,0.001801616270694886,0.0016192689028174281,0.001611821433051828,0.0010551542970430648,0.0009200057693035806,0.0010647772136355208,0.0010408418693455487,0.0008269412094018527,0.0008272582943494396,0.0008867035865592731,0.0009722953107927281,0.0009353210243491232,0.0007311109675414511,0.0006978396870970076,0.0007068128711742979,0.000609398311419262,0.0005894932084827586,0.0004188860944479111
SMT,,0,0,0,0,0,0,1.0017131908728771e-05,0,2.4215327570666075e-05,0,0,1.9337419858589456e-05,0.0001410918667566127,3.1967716613073556e-05,3.9284578181188485e-05,1.9598736343164988e-05,2.8919024293025672e-05,2.5957437467836295e-05,1.8379259415145833e-05,1.3588457197927725e-05,2.473796053981714e-05,1.8553470404862856e-05,1.3849773682503259e-05,2.7438230880430985e-05,1.1585030816181971e-05,0,1.1672136311040483e-05,1.228187477505006e-05,1.1236608836747926e-05,0,0,0,0,0,0,0,0,0,0
Nim,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00040253590000299025,0.0006095524430770962,0.0005519037824575419,0.000554898352324011,0.0004212972637788164,0.0005375217458950499,0.000507610110954283,0.00042884460527743825,0.00033888403194387877,0.0001225292866616154,0.0003754498582751955,0.0003837106821833306,0.00045476361729123837,0.0005145406781408158,0.0003827801392921875,0.0004321001693050147,0.0004564075008961032,0.0003406303651902408,0.00030140632327062137,0.00027584444569567565
Starlark,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005655128738970081,0.006400120323100747,0.006922193389745415,0.005400298005131322,0.004825609056199605,0.004552179381212104,0.0039002793574100443,0.004107531384877149
Verilog,,1.81179429305703e-05,2.134084624033521e-05,1.1846347300757504e-05,1.3414246208210704e-05,1.9424525353447965e-05,2.8831918798167163e-05,5.921748204150112e-05,7.819033128233641e-05,6.689702005133649e-05,8.90218157453983e-05,0.00014096923083788655,0.00016104545682695887,0.0002963223417567068,0.00022337469588601776,0.00021147494878272493,0.00040828264460953496,0.0003326411471416986,0.00018235767270263358,0.0004132124421545224,0.00016970651630242978,0.0003978429025551086,0.00015798770681237496,0.000240180301290891,0.0004067881387272345,0.0002079627058241625,0.00020013935992521661,0.0005944258533689128,0.00020510767572386838,0.00015757835719164019,0.00017748709881451648,0.00019766504908099683,0.00016405823382375628,0.00021561856735691231,0.0003613976320973656,0.00048739082206327426,0.00045839115631192195,0.0003271301826905869,0.00015687680222537252,0.0006433597349647755
Scheme,,2.6131648457553317e-05,6.62001760924684e-05,5.6270149678598144e-05,0.00010993398257504965,0.00013204275107087904,0.0004666837851163769,0.0002907606208582182,0.00039255060213047664,0.00021701611620143416,0.0004254691305763263,0.0003813258313764747,0.0004981127424494876,0.0006540189928393044,0.0005000041711887641,0.0005716421344464926,0.000904398769172222,0.001596072251061897,0.001085512716548402,0.0008192884602053733,0.0008204769231763068,0.0010671966056077023,0.0009518800772399007,0.0008651418695637114,0.0008348455906229326,0.000857471221017997,0.0004637049867231833,0.000509880308764469,0.0005764414771343384,0.0002951770088142197,0.0005771411420833462,0.00035673078630841485,0.00038705194585017934,0.0005975562560235573,0.0003781691495948873,0.00031656686639423023,0.0003979682233854816,0.0002542329163277718,0.000246508113554605,0.00021968892171289503
Standard ML,,0,1.1585030816181971e-05,4.3291430944679995e-05,0.00020908639815839526,0.0001334281657259177,1.65500440231171e-05,5.496356725572048e-05,0.00014133892941152083,0.0003318710848355235,0.000149948119572846,0.00033046763740875325,0.00030753130587512936,0.00037902772994988086,0.0005449475183171292,0.00040804767411560695,0.0005367754166908261,0.00042005207429061015,0.0005001688957076118,0.0003867755775103536,0.00047211428861810434,0.0003137023396659296,0.0003058788038251507,0.00031649139999475776,0.00031036518421667333,4.8871257943287376e-05,0,4.263030829425651e-05,2.1166635250618188e-05,9.407393444719194e-06,1.2804507744201126e-05,1.2194769280191549e-05,0,0,1.5853200064249014e-05,3.726041359381075e-05,1.315292972363517e-05,1.1585030816181971e-05,0,4.305133842608726e-05
DM,,2.6131648457553317e-05,0,0,0.00017747423215471727,0.0009123971044660953,0.0008715796548335955,0.0009574412014331362,0.0014929657177654458,0.00128044775568092,0.001431187992115662,0.002390841162986369,0.0029413494409319388,0.0036284620965884684,0.0039775214567420066,0.004880253015308817,0.005917746970907455,0.0060388614894230225,0.004869539609412882,0.00471504790613648,0.007417138975512976,0.010974435091745756,0.008958214358562578,0.009756903364383911,0.009025795624659105,0.0044055873022013125,0.0041690205011277555,0.0034340287262493068,0.0030938221511142587,0.002437724083486175,0.0041018458039892855,0.0043235204291527315,0.004637064308695263,0.0035581197367648442,0.004113998780810011,0.003291403155718304,0.003939887053035421,0.0029270457641463812,0.003139377174798179,0.0026884100053926356
BitBake,,9.494498939577705e-06,9.60773608289377e-05,8.649575639450148e-05,6.193200684440136e-05,7.020702885595991e-05,8.048547724926422e-05,0.0001573240731224531,0.00012551901809111445,0.00010600738724280796,8.66699673842185e-05,0.00010984002901658245,0.0001330971961438049,0.0001803954798519764,0.00029673103502995664,0.0003168807218254197,0.0005319933912242224,0.00041700242111947374,0.0004888214803565913,0.0006330710361423012,0.0006614048730843329,0.0008386093109721893,0.0006893518731725919,0.0006231936538309714,0.0008316501570549171,0.0006564174041560777,0.0006502021435350932,0.0005156650774028868,0.000526553827866325,0.00026248373237672723,0.0004918525015550293,0.0005846799992017648,0.0005659665178194181,0.0005912746347377263,0.0004507458648231826,0.0004314514109190751,0.000507998490754114,0.00032632967891851146,0.00039004966539929025,0.0002528615766189008
Mercury,,0,0,0,1.7508204466560723e-05,1.864057589972137e-05,0,0,2.229900668377883e-05,3.1096661664488446e-05,6.646149257704395e-05,3.8413523232603376e-05,2.9354551767318227e-05,1.803083743571179e-05,2.4041116580949053e-05,2.6392964942128853e-05,2.0121369312316056e-05,2.2734534158071388e-05,1.5069250610522414e-05,1.0626870372738349e-05,1.0365553888162817e-05,1.2456085764767081e-05,1.550477808481497e-05,8.710549485851107e-06,0,0,0,0,0,0,0,0,1.1149503341889415e-05,0,0,0,1.3501351703069215e-05,8.884760475568128e-06,0,0
Click,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.797654980709616e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emacs Lisp,,0.0010570168977855343,0.0012971279525527083,0.0014201484285665538,0.0020038744062887553,0.002083406398769021,0.0026259200079854343,0.003201316295702817,0.0038682287961059516,0.003473138046461741,0.0037403488022150254,0.004498373597611999,0.005625265641670695,0.005566855064337919,0.006515273674642045,0.006586999570488446,0.0066820071980968595,0.005650730783680195,0.005304037119793378,0.005116763137006737,0.005326405390936463,0.006355538495855823,0.005201735803540036,0.005431093858274258,0.006169534571825296,0.004552860638658139,0.004333529603442311,0.0045669094206913724,0.00458864357219983,0.0031640278678208185,0.004213172694599297,0.00478358474794908,0.005190592655357885,0.005956461408687631,0.0044984238588571075,0.0046765360269977905,0.004530044660517381,0.003838823894869071,0.003419080888722157,0.00264940481782601
Nimrod,,0,0,0,0,0,9.05897146528515e-06,1.3065824228776659e-05,1.6114516548824546e-05,1.2194769280191549e-05,1.2717402249342615e-05,2.621875395241183e-05,0.000337437785439863,0.0004195592848712129,0.00028782363063497055,0.00036635115791025063,0.0005257175846422809,0.0004933949661637063,0.0005054658558228131,0.0004699408868091613,3.0217835996962532e-05,0,2.5835096424883997e-05,2.3759061890741532e-05,0,0,2.398973239453514e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Squirrel,,0,0,0,0,0,0,1.1149503341889415e-05,1.3240035218493681e-05,1.5853200064249014e-05,1.9163208868872433e-05,1.5330567095097946e-05,2.4825066034675653e-05,3.1880611118215046e-05,2.5173488014109698e-05,1.1062397847030905e-05,4.9737237564209815e-05,2.6567175931845872e-05,1.707267699226817e-05,2.229900668377883e-05,2.3518483611797985e-05,4.1549321047509776e-05,1.1149503341889415e-05,1.1062397847030905e-05,0,9.581604434436217e-06,0,0,0,0,0,1.0191342898445794e-05,0,0,0,0,0,0,0,0
Shen,,0,0,0,0,0,0,0,0,0,0,0,8.797654980709616e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PureBasic,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3240035218493681e-05,1.4198195661937302e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.487646176086197e-05,0,0,0,0,0
LLVM,,0,0,0,0,0,0,0,0,0,0,0,0,6.06254244215237e-05,0.00016968150398437954,0.00011653230894685324,9.494498939577705e-06,1.1846347300757504e-05,1.4372406651654325e-05,0.00017431711608109716,9.233182455002173e-06,0.00011058262349913277,0,2.5835096424883997e-05,1.0365553888162817e-05,9.84292091901175e-06,0,0,0.0003466322737025276,0.0002538162328830775,0.00034711117176411784,0.00012610826122966745,3.990599715629403e-05,2.560442592109039e-05,0,0,0,0,0,0
Ring,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00015112089001100354,2.221190118892032e-05,9.449269384631958e-05,3.179350562335654e-05,0.00010991829418568447,2.0382685796891588e-05,9.146076960143662e-06,1.4372406651654325e-05,2.1950584704344788e-05,4.433669688298213e-05,4.276879797552893e-05,2.3257167127222453e-05,2.6741386921562895e-05,0,1.228187477505006e-05,0
M4,,0,0,0,0,0,0,0,0,0,0,0.0001398461110403698,0.00016908285864017806,3.336140453080974e-05,4.4685118862416176e-05,6.681015743665339e-05,0.00022633022737923855,0.000247449258385604,0.00018556210895542754,0.000265518157930942,0.00023321345321655298,0.0002867444656848436,0.0002619324652901137,0.0003172027242505424,0.00018934192253672528,0.0001805358380570482,0.00018771667962362345,0.0001582618438321581,0.0001123675569806356,2.717691439585545e-05,3.527772541769698e-05,2.7438230880430985e-05,2.0034263817457543e-05,0.00013858800769029077,2.0992424260901165e-05,2.543480449868523e-05,8.023978811941854e-05,0.00011518302215516798,8.985786593049725e-05,1.89018923842969e-05
MLIR,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00010630503223626659,3.8239312242886357e-05,2.7438230880430985e-05,2.5347699003826717e-05,3.728115179944274e-05,3.0225606715903337e-05,0
Haskell,,0.002494722531889977,0.0028939319391630995,0.004426148482329353,0.004375092364644413,0.004126691896439563,0.005310513067133406,0.005820832803418733,0.007526730410075025,0.015462927669028615,0.01072192026207796,0.010599069553997652,0.014679038877342121,0.015437894711633841,0.016846336098595895,0.01655003987698842,0.01694981655723181,0.016952548729460712,0.015332053044909153,0.014096323702496966,0.015010075816770978,0.016307535781464048,0.011695835180022027,0.010287003490999081,0.00828251616747546,0.00544633698514178,0.005749118082647723,0.005247818286734417,0.004477857030682724,0.0033267509944564103,0.004004105034847943,0.004766813932158504,0.004676974036797799,0.004955659194246268,0.0036162039649243914,0.0037416358637672054,0.0035857806826347285,0.003251052113114122,0.0026248993091481836,0.002293931239328868
Thrift,,0,0,0,0,0,0,0,0,0,0,0,0.0003245040851850564,0.0007797270920369753,0.0008556932282854147,5.691573089114002e-05,2.3431378116939475e-05,9.494498939577705e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perl,,0.002283575698309981,0.002238086382765703,0.0024830806358662936,0.003383067357873875,0.004572715072604225,0.005098878564353929,0.005354322443286236,0.005829827853656167,0.006093909061433239,0.00680058457490024,0.007854728007150593,0.009835242324728483,0.010805937041692608,0.010420239560436114,0.011086313608317779,0.013558123673210685,0.012546991599506074,0.010445179752111863,0.012171749750846074,0.011477281338834232,0.010972338606903966,0.008563469412637468,0.008648021567897648,0.007928436000380715,0.0066526498266550795,0.005894093806943884,0.006303949138473586,0.006811565651802333,0.004854566312541895,0.006097494381507218,0.006352319867633449,0.0062602033633585505,0.006797796688262308,0.005263488354341355,0.005589308049316844,0.005109908095493155,0.0044973536651291305,0.00447153961545861,0.0033716569471953185
Pascal,,2.308295613750543e-05,1.6898466002551146e-05,2.308295613750543e-05,0.00023257054616372468,0.00012982705423031067,0.0002009066936100011,0.00015795162118366728,0.00029623432716318287,0.000283654882120257,0.00043529127205424293,0.0005010937002595155,0.000674664793616917,0.0010797709171887196,0.0011665992727133076,0.0015386430218745288,0.0017676722159860063,0.0013121571074832775,0.0017398124890762104,0.0016203641133612735,0.0015080528443843664,0.001515513529080421,0.0015852409339839682,0.0013189897761800597,0.0015153950747058382,0.001045585306874076,0.0007276827692551499,0.0007885312589305545,0.0009244387953847914,0.0005865174423676698,0.0008098454976572455,0.0008118940463055402,0.0006862144089142359,0.0009026428845386418,0.0007103920445618845,0.0007676256064594929,0.0008079242987141049,0.0006195874507502123,0.000528852636925335,0.0007229084311642549
PAWN,,0,0,0,0,0,0,0,2.0208474807174565e-05,1.2804507744201126e-05,0,2.1689268219769252e-05,1.8466364910004346e-05,1.2543191259625592e-05,1.2717402249342615e-05,3.9110367191471466e-05,0.00011020268246971995,0.00017438358465593924,0.0001970120007609409,0.00019837400480765235,0.00012995661724439075,1.1672136311040483e-05,0,0,1.1410819826464949e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MATLAB,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.299585064264692e-05,0.001690950618019397,0.0011483132009985227,0.001188896414869257,0.00122727153024667,0.0012360464677848787,0.0012593127409494403,0.0010226927734203757,0.0012536054704482243,0.000985066069691711,0.001073116966567072,0.0008045267118336134,0.0007497948079902068
xBase,,0,0,0,0,0,0,0,0,0,0,0,0,2.134084624033521e-05,1.4372406651654325e-05,0,1.81179429305703e-05,1.480793412594688e-05,0,1.5330567095097946e-05,2.7264019890713963e-05,7.778520690865037e-05,3.31000880462342e-05,4.851776063619066e-05,0.00010217474546903347,1.9163208868872433e-05,8.971865970426639e-06,4.128800456293424e-05,4.285590347038744e-05,0,0.0001807612759828578,0.00013614743744676076,0.0001490564807271777,0.00015584278556388987,0.0001236739328186184,8.11807163353144e-05,1.1062397847030905e-05,0.00017419827369228067,0.00011433622600538239,0.00012512463605502427
XC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.020702885595991e-05,9.146076960143661e-05,9.189629707572917e-05,6.410964421586414e-05,6.254174530841094e-05,5.243750790482366e-05,6.54162266387418e-05,2.9093235282742695e-05,2.4476644055241607e-05,2.4302433065524585e-05,0
IDL,,0,0,0,0,1.3588457197927725e-05,0,1.3588457197927725e-05,4.3291430944679995e-05,4.3814063913831067e-05,5.2350402409965144e-05,0.00010960054369842822,8.342173630150975e-05,0.00010723395511461122,0.00017909847522124564,0.00018736074933945525,0.0001276734647458425,0.00014119261638309016,0.0001482093804466437,0.0001444104443651924,0.00013957933127221783,0.00015375819714420606,7.96423728901829e-05,8.850131983245636e-05,7.89454074912271e-05,4.858424936550488e-05,4.31400952168041e-05,3.8920250443609725e-05,2.2821639652929898e-05,0,3.536483091255549e-05,1.724688798198519e-05,0,1.7421098971702214e-05,1.0365553888162817e-05,0,0,0,0,0
RPC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.84292091901175e-06,0,8.884760475568128e-06,0,0,0,0,0,0,0,0,0,0,0,0,0
P4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8413523232603376e-05,1.0801081362455371e-05,0,0,1.1236608836747926e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SaltStack,,0,0,0,0,0,0,0,1.1323714331606438e-05,1.2194769280191549e-05,7.038123984567693e-05,8.632154540478446e-05,0.0001587156079947719,8.501496298190679e-05,0.0002855729195063978,0.0002908885751661422,0.0003923363158684924,0.00026309200222758046,0.00041059757341242346,0.00029425707641043215,0.0004303336593786657,0.0006838141954764,0.0006265603485653866,0.0004374372652147289,0.0003389496667340827,0.0003683747840651816,0.00013710936732311345,0.00011919202796407686,0.0001365766535591366,9.727599173504422e-05,0.0001917847692242677,0.00013773518943002692,0.0001640165811968109,0.00010468596164609574,3.0051395726186318e-05,0.00013163803293401815,0.0001088082373875928,2.2821639652929898e-05,2.1602162724910743e-05,1.0626870372738349e-05
ShaderLab,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6811360507692636e-05,0,0,3.667661010318353e-05,2.560442592109039e-05,3.367789355386664e-05,5.331375962115914e-05,3.736862161456435e-05,3.7599292118357956e-05,2.9756494989375315e-05,2.8372471966613675e-05,2.5143084913503173e-05,3.183252952351778e-05,2.4220402898328746e-05,0,0,0,0,0
Fortran,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016719238330122922,0.0017096822297973698,0.0013487926841356298,0.0011329432413096975,0.0011413107289458995,0.0009306865879363758,0.0008869129993672323,0.0008789117190162762,0.0010714073816482429,0.0007866471140419971,0.0009543143060249203,0.0008331490860188161,0.0009602518722225712,0.0011003264485466896,0.0009720548814932016,0.0007992778594988108,0.0008204577564186247,0.0007885323377472485,0.0006851945322985105,0.00047023255534173213
XQuery,,0,0,0,0,0,0,9.05897146528515e-06,1.3240035218493681e-05,1.8292153920287323e-05,0.00010278980234886009,0.00010027597683820643,0.00011322014709681245,0.00017755897892614004,5.095671449222897e-05,3.536483091255549e-05,4.050405510920764e-05,2.717691439585545e-05,3.397114299481931e-05,1.951163084830648e-05,1.3327140713352193e-05,1.3762668187644747e-05,1.8814786889438388e-05,0,1.3588457197927725e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
